"Levande födda efter region och år"

"region","2012","2013","2014","2015","2016","2017"
"0114 Upplands Väsby",497,550,485,518,512,559
"0115 Vallentuna",393,381,359,360,357,348
"0117 Österåker",423,371,415,398,435,438
"0120 Värmdö",433,430,426,439,463,431
"0123 Järfälla",794,836,835,914,913,885
"0125 Ekerö",265,291,266,274,247,261
"0126 Huddinge",1303,1368,1314,1299,1316,1234
"0127 Botkyrka",1228,1245,1231,1200,1131,1203
"0128 Salem",178,182,164,168,175,166
"0136 Haninge",963,1009,1021,1013,1076,1065
"0138 Tyresö",418,460,486,449,497,470
"0139 Upplands-Bro",326,301,306,347,335,306
"0140 Nykvarn",82,100,88,103,119,111
"0160 Täby",652,647,598,648,616,609
"0162 Danderyd",265,252,281,250,225,227
"0163 Sollentuna",718,786,765,759,728,685
"0180 Stockholm",13816,14191,14145,13900,13821,13366
"0181 Södertälje",1199,1164,1142,1191,1145,1159
"0182 Nacka",1167,1197,1218,1175,1154,1185
"0183 Sundbyberg",742,736,737,774,774,825
"0184 Solna",1249,1204,1231,1242,1359,1263
"0186 Lidingö",427,446,426,449,440,456
"0187 Vaxholm",95,97,105,98,106,86
"0188 Norrtälje",513,498,555,519,527,562
"0191 Sigtuna",528,586,612,607,678,609
"0192 Nynäshamn",258,285,285,287,308,296
"0305 Håbo",195,192,207,195,249,196
"0319 Älvkarleby",102,76,85,84,90,112
"0330 Knivsta",211,176,200,211,250,253
"0331 Heby",130,139,132,144,127,134
"0360 Tierp",208,198,211,275,255,229
"0380 Uppsala",2569,2516,2518,2620,2562,2508
"0381 Enköping",477,434,450,411,521,504
"0382 Östhammar",232,200,194,227,220,213
"0428 Vingåker",78,76,94,96,84,87
"0461 Gnesta",111,97,114,112,117,108
"0480 Nyköping",579,577,561,601,622,591
"0481 Oxelösund",95,101,118,118,131,159
"0482 Flen",148,147,166,140,180,200
"0483 Katrineholm",378,403,389,404,400,421
"0484 Eskilstuna",1169,1210,1257,1250,1306,1239
"0486 Strängnäs",356,310,339,323,328,361
"0488 Trosa",96,103,113,117,98,125
"0509 Ödeshög",42,45,49,38,67,54
"0512 Ydre",33,37,41,36,40,40
"0513 Kinda",102,81,97,83,134,83
"0560 Boxholm",56,60,75,58,70,49
"0561 Åtvidaberg",98,99,98,119,130,109
"0562 Finspång",219,210,228,226,217,210
"0563 Valdemarsvik",66,47,61,65,72,76
"0580 Linköping",1887,1848,1862,1859,1832,1771
"0581 Norrköping",1687,1729,1636,1688,1721,1637
"0582 Söderköping",140,153,152,134,144,145
"0583 Motala",426,408,435,468,466,484
"0584 Vadstena",67,55,66,48,48,54
"0586 Mjölby",262,278,283,307,286,297
"0604 Aneby",75,69,54,81,85,98
"0617 Gnosjö",97,92,102,112,104,113
"0642 Mullsjö",79,73,76,82,98,54
"0643 Habo",157,149,149,154,166,159
"0662 Gislaved",289,310,309,334,323,314
"0665 Vaggeryd",162,153,149,151,167,157
"0680 Jönköping",1657,1625,1677,1662,1715,1615
"0682 Nässjö",307,350,359,376,360,415
"0683 Värnamo",353,360,376,358,342,348
"0684 Sävsjö",93,119,130,123,147,133
"0685 Vetlanda",268,274,283,291,315,284
"0686 Eksjö",164,178,181,185,172,198
"0687 Tranås",210,155,202,174,198,199
"0760 Uppvidinge",77,93,96,86,114,99
"0761 Lessebo",70,81,74,93,129,106
"0763 Tingsryd",115,99,120,108,127,116
"0764 Alvesta",206,229,240,231,267,262
"0765 Älmhult",180,186,193,177,180,197
"0767 Markaryd",79,83,93,93,114,109
"0780 Växjö",1125,1112,1085,1074,1114,1049
"0781 Ljungby",237,258,259,271,286,320
"0821 Högsby",64,51,49,40,68,56
"0834 Torsås",54,53,65,64,62,73
"0840 Mörbylånga",153,151,141,140,131,169
"0860 Hultsfred",125,119,121,158,158,165
"0861 Mönsterås",134,123,131,140,124,146
"0862 Emmaboda",62,108,73,101,78,75
"0880 Kalmar",775,734,752,806,781,758
"0881 Nybro",200,170,195,194,220,259
"0882 Oskarshamn",272,276,269,270,287,272
"0883 Västervik",315,334,334,326,332,322
"0884 Vimmerby",165,140,171,159,180,149
"0885 Borgholm",77,70,71,66,67,97
"0980 Gotland",566,525,529,491,509,535
"1060 Olofström",103,90,96,121,121,125
"1080 Karlskrona",696,685,749,665,734,662
"1081 Ronneby",270,270,305,304,296,338
"1082 Karlshamn",295,311,318,315,309,323
"1083 Sölvesborg",158,169,146,177,165,145
