"Döda efter region och år"

"region","2012","2013","2014","2015","2016","2017"
"0114 Upplands Väsby",264,265,318,287,305,294
"0115 Vallentuna",170,180,176,196,162,208
"0117 Österåker",262,251,263,289,293,296
"0120 Värmdö",222,211,261,270,250,242
"0123 Järfälla",458,483,484,505,477,536
"0125 Ekerö",159,142,160,149,156,177
"0126 Huddinge",555,583,578,629,643,610
"0127 Botkyrka",540,513,515,558,525,577
"0128 Salem",110,95,104,110,107,135
"0136 Haninge",508,485,508,542,548,577
"0138 Tyresö",257,254,280,317,303,323
"0139 Upplands-Bro",136,135,167,153,160,159
"0140 Nykvarn",62,62,58,64,69,64
"0160 Täby",452,445,469,501,475,504
"0162 Danderyd",269,278,274,292,274,273
"0163 Sollentuna",459,425,414,441,457,464
"0180 Stockholm",6869,6572,6664,6661,6706,6416
"0181 Södertälje",681,698,694,714,748,706
"0182 Nacka",593,596,641,603,643,628
"0183 Sundbyberg",317,304,309,308,297,300
"0184 Solna",595,611,600,569,570,562
"0186 Lidingö",420,392,428,387,400,403
"0187 Vaxholm",84,84,68,84,75,61
"0188 Norrtälje",586,636,607,640,712,692
"0191 Sigtuna",263,243,307,315,297,341
"0192 Nynäshamn",239,272,283,246,261,287
"0305 Håbo",112,122,123,118,139,144
"0319 Älvkarleby",105,100,101,113,96,102
"0330 Knivsta",89,76,81,85,72,96
"0331 Heby",147,146,152,157,146,164
"0360 Tierp",223,230,257,240,255,233
"0380 Uppsala",1431,1446,1378,1422,1364,1461
"0381 Enköping",372,382,375,402,424,389
"0382 Östhammar",276,230,244,217,250,240
"0428 Vingåker",103,86,79,122,117,118
"0461 Gnesta",106,112,124,102,83,112
"0480 Nyköping",554,549,547,550,565,592
"0481 Oxelösund",131,155,145,128,142,151
"0482 Flen",198,197,190,207,194,185
"0483 Katrineholm",398,376,350,399,387,356
"0484 Eskilstuna",979,965,966,995,1007,1020
"0486 Strängnäs",342,298,275,321,335,331
"0488 Trosa",127,100,93,98,127,103
"0509 Ödeshög",68,61,61,49,63,63
"0512 Ydre",51,49,38,48,38,56
"0513 Kinda",116,119,100,111,114,114
"0560 Boxholm",64,59,57,51,51,48
"0561 Åtvidaberg",137,132,152,124,137,129
"0562 Finspång",281,285,233,260,255,249
"0563 Valdemarsvik",115,91,92,100,105,98
"0580 Linköping",1211,1234,1223,1228,1180,1268
"0581 Norrköping",1299,1318,1238,1231,1259,1330
"0582 Söderköping",150,149,144,147,151,158
"0583 Motala",464,454,442,429,451,457
"0584 Vadstena",84,81,97,111,120,106
"0586 Mjölby",245,261,257,269,324,301
"0604 Aneby",78,61,65,69,66,64
"0617 Gnosjö",92,100,70,69,75,89
"0642 Mullsjö",55,59,80,76,68,62
"0643 Habo",86,86,60,76,69,78
"0662 Gislaved",312,275,257,294,269,274
"0665 Vaggeryd",135,129,131,135,113,135
